"Hiện trạng rừng có đến 31/12 phân theo địa phương chia theo Tỉnh, thành phố, Năm và Hiện trạng rừng"

" ";"2008(*)";"2009";"2010(**)";"2011";"2012";"2013";"2014";"2015";"2016";"2018";"2019"
" ";"Rừng trồng";"Rừng trồng";"Rừng trồng";"Rừng trồng";"Rừng trồng";"Rừng trồng";"Rừng trồng";"Rừng trồng";"Rừng trồng";"Rừng trồng";"Rừng trồng"
"Hà Nội";18.0;17.6;17.4;17.4;17.6;17.0;16.8;12.4;12.4;12.0;12.0
"Vĩnh Phúc";19.0;19.2;19.2;18.8;19.9;19.9;19.8;21.3;21.3;21.5;21.3
"Bắc Ninh";0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6;0.6
"Quảng Ninh";135.4;152.6;163.0;170.1;176.5;199.7;224.8;245.6;246.8;247.6;247.7
"Hải Dương";8.1;8.0;7.9;8.1;8.1;8.1;8.5;8.5;6.9;6.8;6.8
"Hải Phòng";6.5;7.0;7.2;7.2;7.2;7.2;7.2;7.5;4.8;4.9;4.8
"Thái Bình";7.5;7.7;7.3;7.3;5.7;5.7;5.9;3.7;4.6;4.2;4.3
"Hà Nam";2.1;2.0;1.6;1.7;1.6;1.6;1.6;1.4;1.4;1.3;1.2
"Nam Định";2.8;2.8;3.6;3.7;3.5;3.5;3.5;3.1;3.1;3.1;3.1
"Ninh Bình";3.6;3.8;3.6;3.4;3.4;3.4;4.1;4.2;4.7;4.6;4.5
"Hà Giang";58.5;67.3;77.2;81.9;82.5;80.3;80.7;87.7;80.1;85.3;87.9
"Cao Bằng";16.7;16.9;17.1;17.2;22.2;20.7;15.0;17.1;17.3;19.6;20.0
"Bắc Kạn";45.6;51.3;59.1;70.2;73.3;80.0;84.7;88.6;91.1;97.2;97.9
"Tuyên Quang";101.4;112.3;119.5;130.1;138.0;140.9;147.7;182.3;183.7;189.3;191.5
"Lào Cai";61.6;65.6;69.3;71.8;73.4;84.8;90.7;81.2;85.6;92.8;98.9
"Yên Bái";168.3;172.8;176.0;177.5;177.8;173.5;195.0;207.1;208.9;218.6;216.7
"Thái Nguyên";68.0;73.1;78.1;80.8;83.7;87.2;89.6;113.3;110.0;110.9;111.1
"Lạng Sơn";139.8;149.9;158.0;166.3;182.6;191.6;208.3;218.4;228.9;239.5;238.1
"Bắc Giang";88.9;93.6;64.6;80.8;82.1;86.9;90.5;96.2;100.6;103.7;104.4
"Phú Thọ";111.3;114.8;119.1;118.6;119.4;119.4;121.7;121.8;122.2;123.1;124.2
"Điện Biên";13.7;15.3;16.3;16.6;16.2;17.4;17.4;6.0;6.6;7.6;9.3
"Lai Châu";18.5;19.9;25.3;29.0;31.3;28.8;30.7;12.4;14.8;18.1;19.7
"Sơn La";23.6;24.1;23.7;24.1;23.6;25.4;25.3;27.5;25.8;32.1;46.2
"Hoà Bình";68.0;90.7;87.0;85.7;105.0;110.2;110.7;108.5;113.2;115.6;120.2
"Thanh Hoá";138.3;148.3;159.0;167.2;176.2;183.0;189.9;231.5;232.7;240.1;248.5
"Nghệ An";118.3;136.3;141.2;149.5;153.1;160.7;166.8;191.5;201.6;208.7;212.4
"Hà Tĩnh";97.5;101.9;108.1;108.5;105.5;115.4;107.3;107.3;107.1;110.6;112.0
"Quảng Bình";88.4;91.6;91.2;93.0;93.0;74.2;80.3;82.4;111.2;112.3;115.6
"Quảng Trị";83.6;85.8;88.4;91.0;91.8;94.7;99.6;100.7;111.0;110.7;112.1
"Thừa Thiên Huế";89.4;90.8;92.0;92.0;92.4;93.5;94.8;95.5;100.1;98.9;99.8
"Đà Nẵng";17.8;10.5;12.5;19.1;19.1;14.3;13.3;15.3;18.9;19.1;19.1
"Quảng Nam";70.1;78.5;117.9;119.3;122.9;135.5;140.1;142.3;224.9;216.3;216.1
"Quảng Ngãi";126.1;130.3;140.3;143.8;151.2;168.0;184.9;200.5;231.5;224.3;224.9
"Bình Định";74.7;77.2;88.1;95.4;100.5;107.1;111.7;121.8;166.2;166.2;164.4
"Phú Yên";37.7;47.5;52.9;57.0;59.2;62.3;66.7;77.8;102.6;103.5;109.0
"Khánh Hoà";32.4;36.2;38.1;39.9;40.9;42.5;43.8;43.5;71.9;70.0;67.7
"Ninh Thuận";6.2;6.9;7.8;8.4;8.6;8.7;9.0;9.3;7.6;7.8;9.0
"Bình Thuận";26.9;30.2;33.8;43.2;43.2;38.8;38.1;39.4;39.4;39.3;51.8
"Tây Nguyên";197.3;209.5;220.5;237.4;309.9;300.8;313.3;315.9;324.2;350.4;368.7
"Kon Tum";37.5;39.7;41.8;41.6;67.1;67.2;70.5;71.0;71.3;71.0;73.3
"Gia Lai";35.1;35.3;46.3;54.6;61.6;61.3;72.1;71.3;72.0;88.6;90.2
"Đắk Lắk";54.5;61.3;42.6;46.5;80.3;80.3;52.2;54.3;54.8;55.2;68.8
"Đắk Nông";12.7;14.6;27.1;28.9;30.8;16.9;40.5;40.3;46.1;52.8;52.4
"Lâm Đồng";57.5;58.6;62.7;65.8;70.1;75.1;78.0;79.0;80.0;82.8;84.1
"Bình Phước";25.7;18.7;45.8;53.7;101.7;101.7;102.1;101.9;104.8;104.5;104.6
"Tây Ninh";10.5;11.6;12.6;16.6;17.5;18.5;20.7;20.9;20.6;20.7;20.0
"Bình Dương";8.1;8.1;8.1;8.2;9.2;9.3;9.3;9.3;8.6;8.5;8.2
"Đồng Nai";56.6;56.0;56.3;59.7;58.7;58.0;64.0;62.8;58.9;60.9;59.0
"Bà Rịa - Vũng Tàu";11.9;12.3;12.3;12.1;11.9;11.6;11.4;11.2;11.9;11.9;12.0
"TP.Hồ Chí Minh";26.8;26.8;26.8;26.8;26.8;21.0;21.0;21.0;22.5;22.5;19.9
"Long An";52.0;45.7;37.4;32.6;28.9;27.2;24.8;24.7;22.2;21.7;21.8
"Tiền Giang";10.4;8.8;7.7;6.3;5.5;3.9;3.9;3.9;3.4;2.6;2.6
"Bến Tre";2.8;2.8;2.9;3.0;3.0;3.0;3.1;3.1;3.2;3.2;3.2
"Trà Vinh";5.4;5.5;5.7;5.8;5.9;6.2;5.5;5.7;6.0;6.0;6.2
"Đồng Tháp";9.0;8.4;7.6;7.1;6.7;44.1;52.4;52.2;6.1;6.1;6.1
"An Giang";13.5;12.8;13.2;11.9;11.7;11.8;11.6;11.7;11.8;12.6;12.5
"Kiên Giang";43.2;28.1;28.0;26.8;19.6;17.7;12.8;12.6;12.8;17.9;18.2
"Hậu Giang";2.5;2.5;2.6;2.9;3.3;2.5;2.5;2.6;2.8;3.1;3.2
"Sóc Trăng";9.1;9.1;9.2;9.1;8.8;8.8;7.3;8.5;8.7;9.1;8.7
"Bạc Liêu";2.0;1.9;2.0;2.0;1.8;1.8;2.7;2.7;2.7;2.8;2.7
"Cà Mau";88.6;90.3;91.5;91.8;94.5;96.0;80.3;80.4;82.3;83.6;84.2

"(*) Theo Quyết định số 1267/QĐ-BNN-KL ngày 04/5/2009 của Bộ "
"trưởng Bộ Nông nghiệp và Phát triển Nông thôn.(**) Diện tích "
"rừng mới trồng bao gồm những diện tích rừng trồng mới trong "
"2 đến 3 năm đầu chưa đạt tiêu chuẩn rừng và không được tính "
"vào tỷ lệ che phủ rừng."

