city,year,sumOfForestAcreage,ratioForestCover,area,district
Đắk Lắk,2019,515.0,38.6,Nam Trung Bộ,Huyện Buôn Đôn
Đắk Nông,2008,323.7,49.0,Nam Trung Bộ,Huyện Đắk RLấp
Đắk Nông,2009,324.0,49.1,Nam Trung Bộ,Huyện Đắk Mil
Đắk Nông,2010,288.8,44.2,Nam Trung Bộ,Huyện Krông Nô
Đắk Nông,2011,289.0,44.0,Nam Trung Bộ,Huyện Đăk Glong
Đắk Nông,2012,287.6,43.6,Nam Trung Bộ,Huyện Đắk Mil
Đắk Nông,2013,230.6,35.3,Nam Trung Bộ,Thị xã Gia Nghĩa
Đắk Nông,2014,261.2,39.0,Nam Trung Bộ,Huyện Tuy Đức
Đắk Nông,2015,258.5,39.1,Nam Trung Bộ,Huyện Cư Jút
Đắk Nông,2016,256.1,38.8,Nam Trung Bộ,Huyện Krông Nô
Đắk Nông,2018,258.8,39.2,Nam Trung Bộ,Huyện Cư Jút
Đắk Nông,2019,251.2,37.9,Nam Trung Bộ,Huyện Đắk Song
Lâm Đồng,2008,602.7,61.2,Đông Nam Bộ,Huyện Cát Tiên
Lâm Đồng,2009,602.0,47.2,Đông Nam Bộ,Huyện Đơn Dương
Lâm Đồng,2010,601.2,60.8,Đông Nam Bộ,Huyện Đức Trọng
Lâm Đồng,2011,598.2,60.4,Đông Nam Bộ,Huyện Đam Rông
Lâm Đồng,2012,597.7,60.3,Đông Nam Bộ,Huyện Đạ Tẻh
Lâm Đồng,2013,600.4,60.3,Đông Nam Bộ,Huyện Di Linh
Lâm Đồng,2014,532.1,52.5,Đông Nam Bộ,Huyện Đam Rông
Lâm Đồng,2015,532.1,53.1,Đông Nam Bộ,Huyện Đạ Huoai
Lâm Đồng,2016,532.6,53.1,Đông Nam Bộ,Huyện Đạ Tẻh
Lâm Đồng,2018,536.7,54.0,Đông Nam Bộ,Huyện Đạ Tẻh
Lâm Đồng,2019,539.4,54.5,Đông Nam Bộ,Huyện Lâm Hà
Bình Phước,2008,132.3,17.2,Đông Nam Bộ,Thị xã Bình Long
Bình Phước,2009,113.9,15.0,Đông Nam Bộ,Huyện Bù Gia Mập
Bình Phước,2010,116.7,13.5,Đông Nam Bộ,Huyện Chơn Thành
Bình Phước,2011,116.5,13.4,Đông Nam Bộ,Huyện Bù Đăng
Bình Phước,2012,160.6,19.5,Đông Nam Bộ,Huyện Lộc Ninh
Bình Phước,2013,160.3,21.6,Đông Nam Bộ,Huyện Chơn Thành
Bình Phước,2014,160.4,22.7,Đông Nam Bộ,Thị xã Bình Long
Bình Phước,2015,159.3,23.1,Đông Nam Bộ,Thị xã Bình Long
Bình Phước,2016,161.2,21.6,Đông Nam Bộ,Huyện Bù Đốp
Bình Phước,2018,160.6,22.8,Đông Nam Bộ,Thị xã Bình Long
Bình Phước,2019,160.7,22.8,Đông Nam Bộ,Thị xã Phước Long
Tây Ninh,2008,45.3,11.1,Đông Nam Bộ,Huyện Gò Dầu
Tây Ninh,2009,46.3,11.2,Đông Nam Bộ,Huyện Trảng Bàng
Tây Ninh,2010,48.1,11.4,Đông Nam Bộ,Huyện Dương Minh Châu
Tây Ninh,2011,52.1,12.2,Đông Nam Bộ,Huyện Dương Minh Châu
Tây Ninh,2012,57.0,13.8,Đông Nam Bộ,Huyện Gò Dầu
Tây Ninh,2013,57.9,14.0,Đông Nam Bộ,Huyện Bến Cầu
Tây Ninh,2014,60.1,14.6,Đông Nam Bộ,Huyện Tân Biên
Tây Ninh,2015,60.4,14.7,Đông Nam Bộ,Huyện Dương Minh Châu
Tây Ninh,2016,66.3,15.7,Đông Nam Bộ,Huyện Tân Biên
Tây Ninh,2018,66.5,16.0,Đông Nam Bộ,Thành phố Tây Ninh
Tây Ninh,2019,65.7,16.0,Đông Nam Bộ,Huyện Bến Cầu
Bình Dương,2008,9.3,3.4,Đông Nam Bộ,Huyện Phú Giáo
Bình Dương,2009,9.2,3.4,Đông Nam Bộ,Thị xã Thuận An
Bình Dương,2010,9.3,3.4,Đông Nam Bộ,Thị xã Bến Cát
Bình Dương,2011,9.3,3.4,Đông Nam Bộ,Thị xã Tân Uyên
Bình Dương,2012,10.2,3.8,Đông Nam Bộ,Thị xã Tân Uyên
Bình Dương,2013,10.2,3.7,Đông Nam Bộ,Thị xã Bến Cát
Bình Dương,2014,10.2,3.7,Đông Nam Bộ,Thị xã Thuận An
Bình Dương,2015,10.2,3.8,Đông Nam Bộ,Thị xã Thuận An
Bình Dương,2016,10.4,3.4,Đông Nam Bộ,Huyện Phú Giáo
Bình Dương,2018,10.3,3.2,Đông Nam Bộ,Thị xã Bến Cát
Bình Dương,2019,10.0,3.1,Đông Nam Bộ,Thành phố Thủ Dầu Một
Đồng Nai,2008,167.3,28.3,Đông Nam Bộ,Huyện Trảng Bom
Đồng Nai,2009,167.6,28.4,Đông Nam Bộ,Huyện Tân Phú
Đồng Nai,2010,167.9,28.4,Đông Nam Bộ,Huyện Cẩm Mỹ
Đồng Nai,2011,179.7,29.8,Đông Nam Bộ,Huyện Xuân Lộc
Đồng Nai,2012,178.7,29.7,Đông Nam Bộ,Huyện Thống Nhất
Đồng Nai,2013,177.9,29.8,Đông Nam Bộ,Huyện Long Thành
Đồng Nai,2014,185.4,30.8,Đông Nam Bộ,Thị xã Long Khánh
Đồng Nai,2015,184.2,30.7,Đông Nam Bộ,Thành phố Biên Hòa
Đồng Nai,2016,182.3,29.1,Đông Nam Bộ,Huyện Trảng Bom
Đồng Nai,2018,184.5,29.0,Đông Nam Bộ,Huyện Vĩnh Cửu
Đồng Nai,2019,182.7,29.1,Đông Nam Bộ,Huyện Tân Phú
Bà Rịa - Vũng Tàu,2008,26.8,13.2,Đông Nam Bộ,Huyện Châu Đức
Bà Rịa - Vũng Tàu,2009,26.8,12.9,Đông Nam Bộ,Thành phố Vũng Tàu
Bà Rịa - Vũng Tàu,2010,26.7,12.9,Đông Nam Bộ,Huyện Đất Đỏ
Bà Rịa - Vũng Tàu,2011,26.1,12.9,Đông Nam Bộ,Huyện Châu Đức
Bà Rịa - Vũng Tàu,2012,26.0,12.5,Đông Nam Bộ,Huyện Tân Thành
Bà Rịa - Vũng Tàu,2013,26.1,12.6,Đông Nam Bộ,Huyện Châu Đức
Bà Rịa - Vũng Tàu,2014,25.6,12.7,Đông Nam Bộ,Thành phố Vũng Tàu
Bà Rịa - Vũng Tàu,2015,25.4,12.5,Đông Nam Bộ,Thành phố Bà Rịa
Bà Rịa - Vũng Tàu,2016,28.3,13.7,Đông Nam Bộ,Thành phố Vũng Tàu
Bà Rịa - Vũng Tàu,2018,28.2,13.6,Đông Nam Bộ,Huyện Tân Thành
Bà Rịa - Vũng Tàu,2019,28.4,13.5,Đông Nam Bộ,Huyện Long Điền
TP.Hồ Chí Minh,2008,38.9,18.5,Đông Nam Bộ,Quận 5
TP.Hồ Chí Minh,2009,39.0,18.6,Đông Nam Bộ,Quận Gò Vấp
TP.Hồ Chí Minh,2010,39.3,18.8,Đông Nam Bộ,Quận 11
TP.Hồ Chí Minh,2011,39.3,18.7,Đông Nam Bộ,Quận Tân Phú
TP.Hồ Chí Minh,2012,39.3,18.7,Đông Nam Bộ,Quận Bình Thạnh
TP.Hồ Chí Minh,2013,34.4,16.4,Đông Nam Bộ,Quận Phú Nhuận
TP.Hồ Chí Minh,2014,34.4,16.4,Đông Nam Bộ,Quận Bình Tân
TP.Hồ Chí Minh,2015,34.4,16.4,Đông Nam Bộ,Huyện Cần Giờ
TP.Hồ Chí Minh,2016,36.6,17.2,Đông Nam Bộ,Huyện Củ Chi
TP.Hồ Chí Minh,2018,36.6,17.5,Đông Nam Bộ,Quận 4
TP.Hồ Chí Minh,2019,33.5,16.0,Đông Nam Bộ,Quận 7
Long An,2008,52.8,11.6,Đồng Bằng Sông Cửu Long,Thị xã Kiến Tường
Long An,2009,46.5,10.1,Đồng Bằng Sông Cửu Long,Thị xã Kiến Tường
Long An,2010,38.2,8.3,Đồng Bằng Sông Cửu Long,Huyện Cần Giuộc
Long An,2011,33.4,7.4,Đồng Bằng Sông Cửu Long,Huyện Cần Đước
Long An,2012,29.7,6.6,Đồng Bằng Sông Cửu Long,Huyện Thủ Thừa
Long An,2013,28.0,6.2,Đồng Bằng Sông Cửu Long,Huyện Đức Huệ
Long An,2014,25.7,5.7,Đồng Bằng Sông Cửu Long,Huyện Cần Đước
Long An,2015,25.6,5.7,Đồng Bằng Sông Cửu Long,Huyện Tân Thạnh
Long An,2016,23.0,4.8,Đồng Bằng Sông Cửu Long,Huyện Cần Giuộc
Long An,2018,22.5,4.3,Đồng Bằng Sông Cửu Long,Thị xã Kiến Tường
Long An,2019,22.6,3.7,Đồng Bằng Sông Cửu Long,Huyện Vĩnh Hưng
Tiền Giang,2008,10.4,4.1,Đồng Bằng Sông Cửu Long,Huyện Cái Bè
Tiền Giang,2009,8.8,3.5,Đồng Bằng Sông Cửu Long,Huyện Gò Công Đông
Tiền Giang,2010,7.7,3.1,Đồng Bằng Sông Cửu Long,Huyện Chợ Gạo
Tiền Giang,2011,6.3,2.4,Đồng Bằng Sông Cửu Long,Huyện Chợ Gạo
Tiền Giang,2012,5.5,2.2,Đồng Bằng Sông Cửu Long,Thành phố Mỹ Tho
Tiền Giang,2013,3.9,1.5,Đồng Bằng Sông Cửu Long,Huyện Gò Công Tây
Tiền Giang,2014,3.9,1.6,Đồng Bằng Sông Cửu Long,Huyện Gò Công Đông
Tiền Giang,2015,3.8,1.2,Đồng Bằng Sông Cửu Long,Thị xã Cai Lậy
Tiền Giang,2016,3.4,1.3,Đồng Bằng Sông Cửu Long,Huyện Tân Phú Đông
Tiền Giang,2018,2.6,1.0,Đồng Bằng Sông Cửu Long,Huyện Cai Lậy
Tiền Giang,2019,2.6,1.0,Đồng Bằng Sông Cửu Long,Thị xã Cai Lậy
Bến Tre,2008,3.8,1.5,Đồng Bằng Sông Cửu Long,Huyện Mỏ Cày Nam
Bến Tre,2009,3.8,1.5,Đồng Bằng Sông Cửu Long,Huyện Châu Thành
Bến Tre,2010,3.9,1.6,Đồng Bằng Sông Cửu Long,Huyện Châu Thành
Bến Tre,2011,4.0,1.6,Đồng Bằng Sông Cửu Long,Huyện Thạnh Phú
Bến Tre,2012,4.0,1.6,Đồng Bằng Sông Cửu Long,Huyện Mỏ Cày Bắc
Bến Tre,2013,3.9,1.6,Đồng Bằng Sông Cửu Long,Huyện Chợ Lách
Bến Tre,2014,4.1,1.6,Đồng Bằng Sông Cửu Long,Huyện Châu Thành
Bến Tre,2015,4.1,1.6,Đồng Bằng Sông Cửu Long,Huyện Ba Tri
Bến Tre,2016,4.2,1.6,Đồng Bằng Sông Cửu Long,Thành phố Bến Tre
Bến Tre,2018,4.2,1.6,Đồng Bằng Sông Cửu Long,Huyện Mỏ Cày Nam
Bến Tre,2019,4.4,1.8,Đồng Bằng Sông Cửu Long,Huyện Chợ Lách
Trà Vinh,2008,6.7,2.9,Đồng Bằng Sông Cửu Long,Huyện Càng Long
Trà Vinh,2009,7.2,3.1,Đồng Bằng Sông Cửu Long,Thị xã Duyên Hải
Trà Vinh,2010,7.5,3.2,Đồng Bằng Sông Cửu Long,Thị xã Duyên Hải
Trà Vinh,2011,7.5,3.2,Đồng Bằng Sông Cửu Long,Thị xã Duyên Hải
Trà Vinh,2012,7.5,3.1,Đồng Bằng Sông Cửu Long,Huyện Cầu Kè
Trà Vinh,2013,7.8,3.2,Đồng Bằng Sông Cửu Long,Huyện Duyên Hải
Trà Vinh,2014,8.2,3.1,Đồng Bằng Sông Cửu Long,Huyện Châu Thành
Trà Vinh,2015,8.7,3.7,Đồng Bằng Sông Cửu Long,Huyện Trà Cú
Trà Vinh,2016,9.0,3.3,Đồng Bằng Sông Cửu Long,Thị xã Duyên Hải
Trà Vinh,2018,9.0,3.7,Đồng Bằng Sông Cửu Long,Huyện Duyên Hải
Trà Vinh,2019,9.2,3.8,Đồng Bằng Sông Cửu Long,Huyện Châu Thành
Đồng Tháp,2008,9.0,2.5,Đồng Bằng Sông Cửu Long,Huyện Cao Lãnh
Đồng Tháp,2009,8.4,2.4,Đồng Bằng Sông Cửu Long,Huyện Tam Nông
Đồng Tháp,2010,7.6,2.2,Đồng Bằng Sông Cửu Long,Huyện Tháp Mười
Đồng Tháp,2011,7.1,2.0,Đồng Bằng Sông Cửu Long,Huyện Thanh Bình
Đồng Tháp,2012,6.7,1.9,Đồng Bằng Sông Cửu Long,Huyện Hồng Ngự
Đồng Tháp,2013,44.1,13.0,Đồng Bằng Sông Cửu Long,Huyện Lấp Vò
Đồng Tháp,2014,52.4,15.2,Đồng Bằng Sông Cửu Long,Huyện Thanh Bình
Đồng Tháp,2015,52.2,15.1,Đồng Bằng Sông Cửu Long,Huyện Tháp Mười
Đồng Tháp,2016,6.1,1.7,Đồng Bằng Sông Cửu Long,Huyện Cao Lãnh
Đồng Tháp,2018,6.1,1.5,Đồng Bằng Sông Cửu Long,Huyện Lấp Vò
Đồng Tháp,2019,6.1,1.6,Đồng Bằng Sông Cửu Long,Huyện Lai Vung
An Giang,2008,14.1,3.9,Đồng Bằng Sông Cửu Long,Huyện Châu Phú
An Giang,2009,13.4,3.6,Đồng Bằng Sông Cửu Long,Huyện Tri Tôn
An Giang,2010,13.8,3.8,Đồng Bằng Sông Cửu Long,Thị xã Tân Châu
An Giang,2011,12.5,3.4,Đồng Bằng Sông Cửu Long,Huyện Chợ Mới
An Giang,2012,12.3,3.4,Đồng Bằng Sông Cửu Long,Thành phố Châu Đốc
An Giang,2013,12.3,3.4,Đồng Bằng Sông Cửu Long,Thành phố Long Xuyên
An Giang,2014,12.2,3.3,Đồng Bằng Sông Cửu Long,Huyện An Phú
An Giang,2015,12.2,3.3,Đồng Bằng Sông Cửu Long,Huyện Tịnh Biên
An Giang,2016,12.9,3.2,Đồng Bằng Sông Cửu Long,Thành phố Châu Đốc
An Giang,2018,13.7,3.3,Đồng Bằng Sông Cửu Long,Huyện Tịnh Biên
An Giang,2019,13.7,3.6,Đồng Bằng Sông Cửu Long,Huyện Phú Tân
Kiên Giang,2008,86.9,13.6,Đồng Bằng Sông Cửu Long,Huyện Giồng Riềng
Kiên Giang,2009,71.8,11.2,Đồng Bằng Sông Cửu Long,Huyện Phú Quốc
Kiên Giang,2010,72.6,11.3,Đồng Bằng Sông Cửu Long,Huyện Phú Quốc
Kiên Giang,2011,71.1,11.1,Đồng Bằng Sông Cửu Long,Huyện U Minh Thượng
Kiên Giang,2012,63.8,10.0,Đồng Bằng Sông Cửu Long,Huyện Giang Thành
Kiên Giang,2013,61.7,9.6,Đồng Bằng Sông Cửu Long,Huyện Kiên Lương
Kiên Giang,2014,55.5,8.6,Đồng Bằng Sông Cửu Long,Huyện An Biên
Kiên Giang,2015,55.3,8.5,Đồng Bằng Sông Cửu Long,Huyện U Minh Thượng
Kiên Giang,2016,55.2,8.2,Đồng Bằng Sông Cửu Long,Huyện An Biên
Kiên Giang,2018,70.5,10.7,Đồng Bằng Sông Cửu Long,Huyện Hòn Đất
Kiên Giang,2019,76.2,12.0,Đồng Bằng Sông Cửu Long,Huyện An Biên
Hậu Giang,2008,2.5,1.2,Đồng Bằng Sông Cửu Long,Huyện Châu Thành A
Hậu Giang,2009,2.5,1.4,Đồng Bằng Sông Cửu Long,Huyện Long Mỹ
Hậu Giang,2010,2.6,1.6,Đồng Bằng Sông Cửu Long,Huyện Châu Thành A
Hậu Giang,2011,2.9,1.7,Đồng Bằng Sông Cửu Long,Huyện Châu Thành
Hậu Giang,2012,3.3,1.7,Đồng Bằng Sông Cửu Long,Huyện Châu Thành
Hậu Giang,2013,2.5,1.3,Đồng Bằng Sông Cửu Long,Huyện Phụng Hiệp
Hậu Giang,2014,2.5,1.3,Đồng Bằng Sông Cửu Long,Thị xã Long Mỹ
Hậu Giang,2015,2.6,1.3,Đồng Bằng Sông Cửu Long,Thành phố Vị Thanh
Hậu Giang,2016,2.8,1.4,Đồng Bằng Sông Cửu Long,Huyện Vị Thuỷ
Hậu Giang,2018,3.1,1.5,Đồng Bằng Sông Cửu Long,Huyện Châu Thành
Hậu Giang,2019,3.2,1.6,Đồng Bằng Sông Cửu Long,Thị xã Long Mỹ
Sóc Trăng,2008,10.5,3.1,Đồng Bằng Sông Cửu Long,Huyện Cù Lao Dung
Sóc Trăng,2009,10.5,3.1,Đồng Bằng Sông Cửu Long,Huyện Cù Lao Dung
Sóc Trăng,2010,10.6,3.0,Đồng Bằng Sông Cửu Long,Huyện Kế Sách
Sóc Trăng,2011,10.6,3.1,Đồng Bằng Sông Cửu Long,Huyện Cù Lao Dung
Sóc Trăng,2012,10.3,2.9,Đồng Bằng Sông Cửu Long,Huyện Châu Thành
Sóc Trăng,2013,10.3,2.9,Đồng Bằng Sông Cửu Long,Huyện Mỹ Xuyên
Sóc Trăng,2014,9.4,2.0,Đồng Bằng Sông Cửu Long,Huyện Cù Lao Dung
Sóc Trăng,2015,10.5,2.2,Đồng Bằng Sông Cửu Long,Huyện Long Phú
Sóc Trăng,2016,10.7,2.6,Đồng Bằng Sông Cửu Long,Huyện Long Phú
Sóc Trăng,2018,11.1,2.8,Đồng Bằng Sông Cửu Long,Thành phố Sóc Trăng
Sóc Trăng,2019,10.7,2.8,Đồng Bằng Sông Cửu Long,Huyện Thạnh Trị
Bạc Liêu,2008,4.3,1.7,Đồng Bằng Sông Cửu Long,Huyện Vĩnh Lợi
Bạc Liêu,2009,4.2,1.7,Đồng Bằng Sông Cửu Long,Huyện Phước Long
Bạc Liêu,2010,4.0,1.6,Đồng Bằng Sông Cửu Long,Thành phố Bạc Liêu
Bạc Liêu,2011,4.0,1.6,Đồng Bằng Sông Cửu Long,Huyện Phước Long
Bạc Liêu,2012,3.4,1.6,Đồng Bằng Sông Cửu Long,Thị xã Giá Rai
Bạc Liêu,2013,3.4,1.4,Đồng Bằng Sông Cửu Long,Huyện Phước Long
Bạc Liêu,2014,4.6,1.9,Đồng Bằng Sông Cửu Long,Huyện Đông Hải
Bạc Liêu,2015,4.6,1.8,Đồng Bằng Sông Cửu Long,Huyện Phước Long
Bạc Liêu,2016,4.6,1.8,Đồng Bằng Sông Cửu Long,Huyện Hoà Bình
Bạc Liêu,2018,4.7,1.8,Đồng Bằng Sông Cửu Long,Huyện Đông Hải
Bạc Liêu,2019,4.5,1.7,Đồng Bằng Sông Cửu Long,Thành phố Bạc Liêu
Cà Mau,2008,97.5,16.2,Đồng Bằng Sông Cửu Long,Huyện Ngọc Hiển
Cà Mau,2009,99.2,16.5,Đồng Bằng Sông Cửu Long,Huyện Cái Nước
Cà Mau,2010,100.4,16.7,Đồng Bằng Sông Cửu Long,Huyện Trần Văn Thời
Cà Mau,2011,100.7,17.0,Đồng Bằng Sông Cửu Long,Huyện Năm Căn
Cà Mau,2012,102.7,17.3,Đồng Bằng Sông Cửu Long,Huyện Cái Nước
Cà Mau,2013,104.2,17.6,Đồng Bằng Sông Cửu Long,Thành phố Cà Mau
Cà Mau,2014,92.3,12.5,Đồng Bằng Sông Cửu Long,Huyện Thới Bình
Cà Mau,2015,92.4,10.8,Đồng Bằng Sông Cửu Long,Huyện U Minh
Cà Mau,2016,94.2,10.8,Đồng Bằng Sông Cửu Long,Huyện Đầm Dơi
Cà Mau,2018,95.5,18.3,Đồng Bằng Sông Cửu Long,Huyện Ngọc Hiển
Cà Mau,2019,96.1,18.4,Đồng Bằng Sông Cửu Long,Huyện U Minh
